1, わあ！いいですね！, わあ！いいですね！
1, 映画が楽しみです, 映画が楽しみですね
1, 海は素晴らしいですね, 海は素晴らしいですね
1, 今は、してないですね。, 今は、してないですね。
1, 食べるのがいいですね, 食べるのがいいですね
1, 歯ごたえが抜群にいいですね, 歯ごたえが良いですね
1, スイカは大好きですね, スイカは大好きですね
1, メロンは好きですね, メロンは大好きですね
1, 泳ぐを繰り返すのです, 泳ぐを繰り返しますよねー
1, 泳ぐを覚えるのです, 泳ぐを覚えるんです
1, 泳ぐを繰り返すようですよ, 泳ぐを繰り返すのです
1, 泳ぐを覚えますよねー, 泳ぐを覚えるんです
1, 猛暑は欲しいですよねー, 猛暑は欲しいですね
1, 冷夏が多いです, 冷夏が多いらしいですよ
1, 元気ですかは元気か, 元気ですかは元気ですね
1, 熱中症で死者が出てるんでしょうか, 熱中症で死者が出る予定です
1, 実写映画を含めるのです, 実写映画を含めるらしいです
1, 実写映画を問わないなあ, 実写映画を問わないそうですよ
1, ありがとうございます, ありがとう
1, うんどういたしまして, どういたしまして
1, ゴーヤチャンプルは美味しいですね, ゴーヤチャンプルは美味しいですよねー
1, 予防を怠ります, 予防を怠るようです
1, 普段から予防を行いますよねー, 日頃から予防を心掛けるらしいです
1, 海は楽しいですね, 海は楽しいですね
1, 湖が綺麗ですね, 湖は美しいですね
1, 果物が良いですね, 果物は朝がいいですね
1, ありがとう, ありがとう
1, スイカは大好きですね, スイカは好きですね
1, 趣味は写真を撮るのです, 趣味は写真を楽しみます
1, 機嫌をなおすのです, 機嫌をなおしますよねえ
1, 嫌はいいのが救いですけどねぇ, 良いのが救いですけどねぇ
1, 元気ですかは元気ですね, 元気ですかは元気です
1, ありがとうございます, ありがとう
1, 代替わりしていますね, 代替わりしていますね
1, あはは本当ですね。（←大阪の友達に怒られそう…）東京のもんじゃも似てますけどね。, あはは本当ですね。（←大阪の友達に怒られそう…）東京のもんじゃも似てますけどね。
1, こんにちは。, こんにちは。
1, 好きな食べ物は？, 好きな食べ物は何ですか？
1, そうですねえ, そうですねえ
1, ペットは飼ってませんが動物は好きです。, ペットは飼ってませんが動物は好きです。
1, 最近だと旅行にはまりだしたので、旅代で消えてしまいますね。, 最近だと旅行にはまりだしたので、旅代で消えてしまいますね。
1, ヨガちょっとやってみたいです！やっぱりやり始めてからは体の調子いいですか？お風呂上がりにストレッチやろうと思うのですが、なかなか続かなくて。, ヨガちょっとやってみたいです！やっぱりやり始めてからは体の調子いいですか？お風呂上がりにストレッチやろうと思うのですが、なかなか続かなくて。
1, 猫は好きですか。, 猫は好きですか？
1, いま住んでるところから駅がちょっと遠いので駅までは車ですよ。, いま住んでるところから駅がちょっと遠いので駅までは車ですよ。
1, 慣れてる方ですね', 慣れてる方ですね'
1, 当たらないだろうと思って出していません。, 当たらないだろうと思って出していません。
1, 地下鉄で。名大前ができてすごく便利になりましたね、ここの大学。, 地下鉄で。名大前ができてすごく便利になりましたね、ここの大学。
